"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Then user should be redirected to the cellphone and accessories page","","Mon Sep 23 14:20:52 WIB 2024","skipped","Mon Sep 23 14:20:52 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","9","Then user should be redirected to the cellphone and accessories page","","Mon Sep 23 14:35:38 WIB 2024","passed","Mon Sep 23 14:35:38 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","And user applies multiple filters","","Mon Sep 23 16:23:21 WIB 2024","skipped","Mon Sep 23 16:23:21 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","35","When user clicks Apply button","","Tue Sep 24 14:37:57 WIB 2024","passed","Tue Sep 24 14:37:58 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","When user opens Cell Phones & Smartphones category","","Mon Sep 23 14:24:20 WIB 2024","broken","Mon Sep 23 14:24:20 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","10818","When user clicks Cell Phones & Accessories category","","Tue Sep 24 14:37:47 WIB 2024","passed","Tue Sep 24 14:37:58 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","9","Then user should see search results for ""Macbook""","","Tue Sep 24 14:37:42 WIB 2024","passed","Tue Sep 24 14:37:42 WIB 2024","","Access Product: Access a Product via Search","",""
"","6222","When user clicks All Filters","","Tue Sep 24 14:37:51 WIB 2024","passed","Tue Sep 24 14:37:58 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","Then user should see the filter tags are applied","","Tue Sep 24 14:37:58 WIB 2024","passed","Tue Sep 24 14:37:58 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","And user clicks Apply button","","Tue Sep 24 14:16:53 WIB 2024","skipped","Tue Sep 24 14:16:53 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","166","When user types ""Macbook"" in the search bar","","Tue Sep 24 14:37:40 WIB 2024","passed","Tue Sep 24 14:37:40 WIB 2024","","Access Product: Access a Product via Search","",""
"","2247","And user clicks Search button","","Tue Sep 24 14:37:40 WIB 2024","passed","Tue Sep 24 14:37:43 WIB 2024","","Access Product: Access a Product via Search","",""
"","2497","When user clicks Cell Phones & Smartphones category","","Tue Sep 24 14:37:49 WIB 2024","passed","Tue Sep 24 14:37:51 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","Then user should see selected filters","","Tue Sep 24 14:37:57 WIB 2024","passed","Tue Sep 24 14:37:57 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","7","Then user should be redirected to the Cell Phones & Smartphones page","","Tue Sep 24 14:37:51 WIB 2024","passed","Tue Sep 24 14:37:51 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","34","And user selects ""Computers/Tablets & Networking"" category from dropdown","","Tue Sep 24 14:37:40 WIB 2024","passed","Tue Sep 24 14:37:40 WIB 2024","","Access Product: Access a Product via Search","",""
"","1","hook:","","Tue Sep 24 14:37:43 WIB 2024","failed","Tue Sep 24 14:37:43 WIB 2024","","","",""
"","4117","Given user is on the Homepage","","Tue Sep 24 14:37:43 WIB 2024","passed","Tue Sep 24 14:37:47 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","8755","Then user should be redirected to the Cellphone & Accessories page","","Tue Sep 24 14:37:49 WIB 2024","passed","Tue Sep 24 14:37:58 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","When user opens Cell Phones & Smartphones category","","Mon Sep 23 14:20:52 WIB 2024","broken","Mon Sep 23 14:20:52 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","2","Then user should be redirected to the Cellphone & accessories page","","Tue Sep 24 12:32:18 WIB 2024","broken","Tue Sep 24 12:32:18 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","6128","And user adds multiple filters","","Tue Sep 24 14:37:51 WIB 2024","passed","Tue Sep 24 14:37:57 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","0","When user clicks all Filters","","Mon Sep 23 15:20:58 WIB 2024","broken","Mon Sep 23 15:20:58 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","5","Then user should see search results for Macbook","","Mon Sep 23 17:37:07 WIB 2024","passed","Mon Sep 23 17:37:07 WIB 2024","","Access Product: Access a Product via Search","",""
"","1","When user type ""Macbook"" in the search bar","","Mon Sep 23 16:56:51 WIB 2024","broken","Mon Sep 23 16:56:51 WIB 2024","","Access Product: Access a Product via Search","",""
"","0","hook:","","Tue Sep 24 14:37:58 WIB 2024","failed","Tue Sep 24 14:37:58 WIB 2024","","","",""
"","5005","Given user is on the Homepage","","Tue Sep 24 14:37:35 WIB 2024","passed","Tue Sep 24 14:37:40 WIB 2024","","Access Product: Access a Product via Search","",""
"","20","Given user is on the Homepage","","Mon Sep 23 14:20:51 WIB 2024","failed","Mon Sep 23 14:20:52 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
"","1830","When user opens Cell Phones & accessories category","","Mon Sep 23 14:35:36 WIB 2024","passed","Mon Sep 23 14:35:38 WIB 2024","","Access Product: Access a Product via category after applying multiple filters","",""
